2016-2020,13049,"Charlton, GA        ",6,68.5%,56.4%,43.8%,34.9%,19.8%
2016-2020,13051,"Chatham, GA        ",2,51.8%,39.4%,26.3%,19.8%,9.9%
2016-2020,13053,"Chattahoochee, GA        ",2,25.7%,18.2%,11.5%,11.2%,5.8%
2016-2020,13055,"Chattooga, GA        ",6,75.8%,65.7%,49.9%,39.6%,27.7%
2016-2020,13057,"Cherokee, GA        ",1,71.7%,47.9%,24.8%,15.6%,7.9%
2016-2020,13059,"Clarke, GA        ",3,38.7%,32.6%,22.9%,19.0%,10.5%
2016-2020,13061,"Clay, GA        ",9,77.6%,62.8%,48.6%,35.7%,17.1%
2016-2020,13063,"Clayton, GA        ",1,50.5%,33.5%,22.8%,19.9%,15.1%
2016-2020,13065,"Clinch, GA        ",6,74.5%,65.6%,53.8%,41.1%,27.8%
2016-2020,13067,"Cobb, GA        ",1,49.8%,27.7%,14.2%,11.2%,7.4%
2016-2020,13069,"Coffee, GA        ",7,70.3%,56.6%,42.0%,35.2%,25.2%
2016-2020,13071,"Colquitt, GA        ",6,68.5%,54.9%,43.0%,35.1%,25.4%
2016-2020,13073,"Columbia, GA        ",2,58.7%,32.8%,18.9%,12.1%,7.0%
2016-2020,13075,"Cook, GA        ",6,72.1%,61.3%,44.8%,35.4%,19.3%
2016-2020,13077,"Coweta, GA        ",1,68.5%,53.9%,32.6%,18.4%,9.6%
2016-2020,13079,"Crawford, GA        ",3,77.4%,59.5%,39.8%,32.7%,16.9%
2016-2020,13081,"Crisp, GA        ",6,69.1%,54.9%,43.8%,34.1%,17.3%
2016-2020,13083,"Dade, GA        ",2,73.6%,56.3%,44.7%,33.0%,18.5%
2016-2020,13085,"Dawson, GA        ",1,82.5%,63.3%,39.9%,20.5%,11.7%
2016-2020,13087,"Decatur, GA        ",6,73.0%,54.6%,40.2%,30.3%,17.1%
2016-2020,13089,"DeKalb, GA        ",1,36.2%,23.1%,16.1%,14.9%,9.7%
2016-2020,13091,"Dodge, GA        ",6,75.5%,59.8%,43.2%,33.7%,14.3%
2016-2020,13093,"Dooly, GA        ",6,77.0%,66.1%,45.3%,31.5%,19.5%
2016-2020,13095,"Dougherty, GA        ",3,51.7%,41.5%,32.5%,26.3%,15.6%
2016-2020,13097,"Douglas, GA        ",1,63.9%,42.6%,27.7%,18.9%,12.3%
2016-2020,13099,"Early, GA        ",6,78.6%,61.2%,45.9%,31.6%,19.0%
2016-2020,13101,"Echols, GA        ",3,75.3%,59.0%,39.0%,39.5%,23.1%
2016-2020,13103,"Effingham, GA        ",2,73.7%,53.4%,34.0%,21.1%,10.6%
2016-2020,13105,"Elbert, GA        ",6,77.7%,58.6%,45.7%,32.8%,21.2%
2016-2020,13107,"Emanuel, GA        ",7,76.0%,61.6%,47.4%,38.6%,20.8%
2016-2020,13109,"Evans, GA        ",6,78.0%,56.9%,41.5%,34.3%,23.0%
2016-2020,13111,"Fannin, GA        ",8,72.1%,59.1%,44.2%,29.1%,12.0%
2016-2020,13113,"Fayette, GA        ",1,63.0%,26.7%,13.5%,7.6%,4.5%
2016-2020,13115,"Floyd, GA        ",3,64.4%,51.2%,36.1%,28.5%,16.3%
2016-2020,13117,"Forsyth, GA        ",1,72.0%,49.2%,32.4%,14.3%,6.6%
2016-2020,13119,"Franklin, GA        ",8,74.9%,62.1%,45.9%,33.0%,18.4%
2016-2020,13121,"Fulton, GA        ",1,50.1%,34.0%,22.2%,16.0%,6.9%
2016-2020,13123,"Gilmer, GA        ",6,73.5%,62.5%,47.7%,34.0%,15.6%
2016-2020,13125,"Glascock, GA        ",9,88.4%,68.2%,49.7%,33.9%,23.9%
2016-2020,13127,"Glynn, GA        ",3,51.8%,38.1%,25.7%,17.8%,11.4%
2016-2020,13129,"Gordon, GA        ",4,74.3%,57.9%,41.6%,34.1%,22.1%
2016-2020,13131,"Grady, GA        ",6,71.0%,59.3%,45.1%,30.6%,18.7%
2016-2020,13133,"Greene, GA        ",6,69.7%,65.1%,48.8%,29.9%,13.0%
2016-2020,13135,"Gwinnett, GA        ",1,62.4%,28.3%,13.3%,12.7%,12.1%
2016-2020,13137,"Habersham, GA        ",6,67.7%,56.5%,41.0%,29.1%,19.8%
2016-2020,13139,"Hall, GA        ",3,66.6%,51.9%,34.9%,29.5%,20.8%
2016-2020,13141,"Hancock, GA        ",7,80.3%,66.4%,50.5%,37.8%,29.7%
2016-2020,13143,"Haralson, GA        ",1,69.7%,58.0%,44.0%,37.0%,17.7%
2016-2020,13145,"Harris, GA        ",2,69.9%,50.3%,35.0%,21.0%,6.4%
2016-2020,13147,"Hart, GA        ",6,79.4%,61.9%,43.1%,28.9%,17.2%
2016-2020,13149,"Heard, GA        ",1,80.8%,64.5%,50.9%,34.0%,18.1%
2016-2020,13151,"Henry, GA        ",1,69.4%,45.6%,27.1%,15.8%,8.2%
2016-2020,13153,"Houston, GA        ",3,40.1%,31.2%,20.5%,15.7%,7.4%
2016-2020,13155,"Irwin, GA        ",7,72.0%,60.5%,46.9%,32.3%,18.8%
2016-2020,13157,"Jackson, GA        ",4,70.6%,59.3%,45.5%,31.9%,14.7%
2016-2020,13159,"Jasper, GA        ",1,69.5%,58.6%,35.4%,30.3%,14.9%
2016-2020,13161,"Jeff Davis, GA        ",7,72.5%,59.5%,44.8%,36.7%,21.6%
2016-2020,13163,"Jefferson, GA        ",6,79.3%,63.6%,50.3%,41.5%,21.5%
2016-2020,13165,"Jenkins, GA        ",6,81.3%,64.8%,50.1%,38.0%,21.9%
2016-2020,13167,"Johnson, GA        ",7,78.7%,65.0%,48.0%,37.6%,26.0%
2016-2020,13169,"Jones, GA        ",3,67.1%,45.8%,29.8%,22.1%,8.3%
2016-2020,13171,"Lamar, GA        ",1,71.9%,54.3%,42.0%,28.7%,12.8%
2016-2020,13173,"Lanier, GA        ",3,72.0%,60.6%,48.8%,33.0%,15.1%
2016-2020,13175,"Laurens, GA        ",5,70.5%,54.3%,39.0%,29.7%,13.7%
2016-2020,13177,"Lee, GA        ",3,72.6%,45.9%,30.2%,18.7%,7.8%
2016-2020,13179,"Liberty, GA        ",3,57.0%,30.6%,17.9%,13.2%,8.1%
2016-2020,13181,"Lincoln, GA        ",2,80.6%,58.9%,40.8%,29.0%,15.4%
2016-2020,13183,"Long, GA        ",3,79.0%,53.9%,36.4%,25.7%,14.0%
2016-2020,13185,"Lowndes, GA        ",3,54.1%,42.9%,30.2%,22.3%,11.7%
2016-2020,13187,"Lumpkin, GA        ",6,74.7%,56.8%,39.8%,28.0%,14.0%
2016-2020,13189,"McDuffie, GA        ",2,65.9%,58.1%,43.9%,33.3%,15.6%
2016-2020,13191,"McIntosh, GA        ",3,72.7%,58.6%,43.1%,28.8%,13.5%
2016-2020,13193,"Macon, GA        ",6,75.2%,64.8%,46.3%,36.8%,27.7%
2016-2020,13195,"Madison, GA        ",3,76.9%,57.4%,40.3%,29.2%,16.7%
2016-2020,13197,"Marion, GA        ",2,81.1%,64.0%,45.5%,34.6%,20.1%
2016-2020,13199,"Meriwether, GA        ",1,71.2%,60.6%,48.4%,34.2%,18.5%
2016-2020,13201,"Miller, GA        ",8,76.2%,58.4%,42.6%,31.0%,14.6%
2016-2020,13205,"Mitchell, GA        ",6,75.3%,60.6%,45.1%,34.7%,20.1%
2016-2020,13207,"Monroe, GA        ",3,71.7%,54.5%,33.8%,22.3%,13.2%
2016-2020,13209,"Montgomery, GA        ",9,73.5%,58.1%,42.6%,28.6%,16.7%
2016-2020,13211,"Morgan, GA        ",1,73.1%,58.9%,40.4%,26.0%,11.3%
2016-2020,13213,"Murray, GA        ",3,75.4%,63.8%,47.9%,38.9%,27.7%
2016-2020,13215,"Muscogee, GA        ",2,49.9%,39.1%,28.5%,21.1%,11.9%
2016-2020,13217,"Newton, GA        ",1,70.9%,54.9%,40.3%,25.3%,12.9%
2016-2020,13219,"Oconee, GA        ",3,60.5%,39.9%,22.9%,13.3%,5.1%
2016-2020,13221,"Oglethorpe, GA        ",3,80.1%,57.4%,38.2%,27.9%,16.5%
2016-2020,13223,"Paulding, GA        ",1,77.8%,58.3%,35.9%,19.2%,9.5%
2016-2020,13225,"Peach, GA        ",3,62.9%,49.0%,32.5%,26.6%,15.6%
2016-2020,13227,"Pickens, GA        ",1,80.6%,62.1%,43.2%,29.8%,12.5%
2016-2020,13229,"Pierce, GA        ",6,71.1%,53.5%,40.0%,30.2%,16.0%
2016-2020,13231,"Pike, GA        ",1,77.6%,53.1%,35.1%,24.7%,12.9%
2016-2020,13233,"Polk, GA        ",4,73.4%,60.3%,48.2%,36.7%,19.3%
2016-2020,13235,"Pulaski, GA        ",3,70.7%,54.2%,39.4%,26.6%,20.5%
2016-2020,13237,"Putnam, GA        ",6,64.7%,53.7%,38.2%,24.5%,12.3%
2016-2020,13239,"Quitman, GA        ",9,78.8%,64.2%,50.5%,42.2%,29.0%
2016-2020,13241,"Rabun, GA        ",7,70.6%,53.7%,37.3%,24.6%,15.0%
2016-2020,13243,"Randolph, GA        ",6,80.6%,64.4%,50.7%,37.6%,26.0%
2016-2020,13245,"Richmond, GA        ",2,51.9%,38.6%,29.1%,22.0%,14.3%
2016-2020,13247,"Rockdale, GA        ",1,64.6%,36.6%,22.3%,17.6%,10.7%
2016-2020,13249,"Schley, GA        ",8,77.9%,55.7%,43.6%,30.0%,14.2%
2016-2020,13251,"Screven, GA        ",6,80.8%,58.5%,41.1%,33.1%,16.8%
2016-2020,13253,"Seminole, GA        ",6,69.5%,57.1%,47.3%,32.1%,15.7%
2016-2020,13255,"Spalding, GA        ",1,68.5%,55.6%,40.0%,32.2%,17.1%
2016-2020,13257,"Stephens, GA        ",7,67.0%,56.7%,39.9%,28.9%,18.4%
2016-2020,13259,"Stewart, GA        ",8,77.3%,64.1%,48.6%,36.8%,27.3%
2016-2020,13261,"Sumter, GA        ",6,67.0%,53.1%,37.2%,30.1%,15.8%
2016-2020,13263,"Talbot, GA        ",8,78.7%,59.7%,43.8%,35.2%,17.4%
2016-2020,13265,"Taliaferro, GA        ",8,88.1%,74.9%,51.4%,43.8%,22.2%
2016-2020,13267,"Tattnall, GA        ",6,73.8%,55.6%,42.6%,33.7%,22.6%
2016-2020,13269,"Taylor, GA        ",8,80.2%,64.0%,48.8%,36.4%,20.5%
2016-2020,13271,"Telfair, GA        ",7,73.6%,60.4%,47.9%,36.4%,28.2%
2016-2020,13273,"Terrell, GA        ",3,71.3%,62.7%,47.6%,35.5%,23.5%
2016-2020,13275,"Thomas, GA        ",4,67.8%,51.4%,36.7%,26.5%,13.9%
2016-2020,13277,"Tift, GA        ",5,67.2%,54.5%,38.7%,32.1%,16.8%
2016-2020,13279,"Toombs, GA        ",7,72.5%,56.0%,41.0%,32.7%,16.5%
2016-2020,13281,"Towns, GA        ",9,68.6%,55.0%,41.8%,24.9%,8.3%
2016-2020,13283,"Treutlen, GA        ",7,80.6%,67.0%,47.3%,38.2%,23.6%
2016-2020,13285,"Troup, GA        ",4,70.2%,58.2%,39.2%,27.0%,14.8%
2016-2020,13287,"Turner, GA        ",6,77.7%,60.2%,44.7%,32.3%,20.8%
2016-2020,13289,"Twiggs, GA        ",3,82.1%,66.4%,51.6%,36.8%,20.4%
2016-2020,13291,"Union, GA        ",9,79.2%,61.4%,41.3%,25.8%,10.9%
2016-2020,13293,"Upson, GA        ",6,69.1%,58.5%,45.4%,33.3%,17.3%
2016-2020,13295,"Walker, GA        ",2,66.6%,55.4%,41.7%,33.2%,16.8%
2016-2020,13297,"Walton, GA        ",1,74.7%,62.0%,42.1%,26.5%,12.8%
2016-2020,13299,"Ware, GA        ",5,67.3%,52.8%,38.9%,29.7%,18.5%
2016-2020,13301,"Warren, GA        ",8,79.2%,68.8%,57.2%,42.9%,24.9%
2016-2020,13303,"Washington, GA        ",7,78.4%,62.1%,41.9%,31.7%,15.9%
2016-2020,13305,"Wayne, GA        ",6,64.5%,51.4%,37.1%,29.9%,15.4%
2016-2020,13307,"Webster, GA        ",8,84.9%,63.5%,49.6%,38.7%,20.4%
2016-2020,13309,"Wheeler, GA        ",9,83.2%,63.2%,43.3%,32.1%,25.1%
2016-2020,13311,"White, GA        ",6,72.4%,51.9%,37.1%,24.0%,15.3%
2016-2020,13313,"Whitfield, GA        ",3,70.3%,55.3%,40.2%,37.0%,28.6%
2016-2020,13315,"Wilcox, GA        ",8,71.6%,63.6%,47.2%,31.8%,16.5%
2016-2020,13317,"Wilkes, GA        ",6,68.7%,59.7%,43.4%,35.0%,18.8%
2016-2020,13319,"Wilkinson, GA        ",8,78.0%,59.5%,38.0%,29.6%,13.9%
2016-2020,13321,"Worth, GA        ",3,73.0%,56.6%,41.9%,31.7%,15.0%

Textbox17,Textbox49,Textbox69,county2,rate_1971,rate_1981,rate_1991,rate_2001,rate_2011,ID1970_U,ID1980_U,ID1990_U,ID2000_U,ID2010_U,ID1970_R,ID1980_R,ID1990_R,ID2000_R,ID2010_R
2016-2020,2016-2020,2016-2020,United States,47.7%,33.5%,24.8%,19.6%,11.5%,45.8%,31.7%,23.3%,18.8%,11.2%,55.9%,41.8%,31.6%,23.7%,12.9%
2016-2020,2016-2020,2016-2020,Alabama,58.7%,43.5%,33.1%,24.7%,13.1%,55.5%,40.0%,29.8%,22.0%,11.7%,66.6%,52.5%,42.3%,32.3%,17.6%
2016-2020,2016-2020,2016-2020,Alaska,33.3%,17.0%,13.3%,11.7%,6.9%,25.6%,13.1%,10.4%,9.9%,6.0%,44.8%,24.7%,18.9%,15.2%,8.6%
2016-2020,2016-2020,2016-2020,Arizona,41.9%,27.6%,21.3%,19.0%,12.1%,40.7%,26.6%,20.3%,18.4%,11.9%,57.5%,42.1%,37.1%,29.6%,16.9%
2016-2020,2016-2020,2016-2020,Arkansas,60.1%,44.5%,33.7%,24.7%,12.8%,53.5%,38.5%,28.6%,21.0%,11.4%,66.5%,50.9%,39.5%,29.3%,15.3%
2016-2020,2016-2020,2016-2020,California,37.4%,26.5%,23.8%,23.2%,16.1%,37.2%,26.6%,23.9%,23.3%,16.2%,43.5%,25.3%,21.9%,17.8%,11.6%
2016-2020,2016-2020,2016-2020,Colorado,36.1%,21.4%,15.6%,13.1%,7.9%,33.8%,20.0%,14.6%,12.5%,7.7%,47.1%,28.5%,21.4%,16.5%,9.1%
2016-2020,2016-2020,2016-2020,Connecticut,44.0%,29.7%,20.8%,16.0%,9.1%,43.9%,29.7%,20.9%,16.1%,9.2%,45.6%,29.4%,19.1%,14.1%,6.2%
2016-2020,2016-2020,2016-2020,Delaware,45.4%,31.4%,22.5%,17.4%,9.4%,45.4%,31.4%,22.5%,17.4%,9.4%,,,,,
2016-2020,2016-2020,2016-2020,District of Columbia,44.8%,32.9%,26.9%,22.2%,8.1%,44.8%,32.9%,26.9%,22.2%,8.1%,,,,,
2016-2020,2016-2020,2016-2020,Florida,47.4%,33.3%,25.6%,20.1%,11.5%,46.5%,32.1%,23.4%,19.8%,11.2%,61.2%,44.9%,35.7%,29.2%,18.6%
2016-2020,2016-2020,2016-2020,Georgia,59.4%,43.6%,29.1%,21.4%,12.1%,54.8%,39.1%,25.6%,19.0%,10.9%,72.6%,57.7%,42.0%,31.5%,17.7%
2016-2020,2016-2020,2016-2020,Hawaii,38.1%,26.2%,19.9%,15.4%,7.5%,35.6%,25.1%,19.2%,15.4%,7.6%,54.3%,32.6%,23.7%,15.8%,7.3%
2016-2020,2016-2020,2016-2020,Idaho,40.5%,26.3%,20.3%,15.3%,8.7%,37.7%,24.1%,18.4%,13.6%,7.6%,43.9%,29.2%,23.0%,18.0%,11.3%
2016-2020,2016-2020,2016-2020,Illinois,47.4%,33.5%,23.8%,18.6%,10.3%,46.6%,32.6%,23.2%,18.3%,10.3%,52.1%,38.8%,27.6%,20.1%,10.4%
2016-2020,2016-2020,2016-2020,Indiana,47.1%,33.6%,24.4%,17.9%,10.7%,46.2%,32.4%,23.1%,16.9%,10.1%,49.6%,37.1%,28.0%,20.7%,12.7%
2016-2020,2016-2020,2016-2020,Iowa,41.0%,28.5%,19.9%,13.9%,7.5%,37.1%,24.8%,17.3%,12.3%,6.8%,44.4%,31.9%,22.6%,15.7%,8.5%
2016-2020,2016-2020,2016-2020,Kansas,40.1%,26.7%,18.7%,14.0%,8.6%,37.0%,23.2%,15.9%,12.0%,7.7%,43.8%,31.1%,23.0%,17.4%,10.7%
2016-2020,2016-2020,2016-2020,Kentucky,61.5%,46.9%,35.4%,25.9%,12.8%,54.2%,38.7%,27.6%,19.4%,9.8%,70.2%,56.3%,44.9%,33.9%,17.2%
2016-2020,2016-2020,2016-2020,Louisiana,57.8%,42.3%,31.7%,25.2%,14.1%,55.5%,39.9%,29.8%,23.5%,13.3%,67.2%,52.6%,40.4%,33.2%,18.7%
2016-2020,2016-2020,2016-2020,Maine,45.3%,31.3%,21.2%,14.6%,6.8%,43.5%,30.2%,19.7%,13.2%,6.1%,47.4%,32.8%,23.1%,16.6%,7.7%
2016-2020,2016-2020,2016-2020,Maryland,47.7%,32.6%,21.6%,16.2%,9.4%,47.1%,32.1%,21.3%,16.0%,9.4%,66.0%,48.4%,30.4%,21.4%,11.6%
2016-2020,2016-2020,2016-2020,Massachusetts,41.5%,27.8%,20.0%,15.2%,8.9%,41.6%,27.9%,20.1%,15.3%,9.0%,39.9%,24.4%,16.0%,11.3%,6.0%
2016-2020,2016-2020,2016-2020,Michigan,47.2%,32.0%,23.2%,16.6%,8.7%,46.8%,31.6%,22.8%,16.4%,8.7%,49.7%,34.1%,25.1%,17.4%,8.8%
2016-2020,2016-2020,2016-2020,Minnesota,42.4%,26.9%,17.6%,12.1%,6.6%,37.8%,22.7%,14.6%,10.3%,6.2%,52.8%,37.1%,26.1%,17.3%,8.0%
2016-2020,2016-2020,2016-2020,Mississippi,59.0%,45.2%,35.7%,27.1%,14.7%,50.8%,37.1%,28.8%,21.2%,11.7%,63.3%,50.1%,40.4%,31.5%,17.3%
2016-2020,2016-2020,2016-2020,Missouri,51.2%,36.5%,26.1%,18.7%,9.4%,48.4%,33.2%,22.9%,16.3%,8.0%,58.7%,45.0%,34.9%,25.1%,13.5%
2016-2020,2016-2020,2016-2020,Montana,40.8%,25.6%,19.0%,12.8%,6.0%,34.9%,22.8%,16.3%,11.2%,5.4%,43.7%,27.1%,20.4%,13.7%,6.4%
2016-2020,2016-2020,2016-2020,Nebraska,40.7%,26.6%,18.2%,13.4%,8.4%,35.6%,22.5%,15.0%,11.7%,8.0%,45.7%,31.1%,22.2%,15.8%,9.1%
2016-2020,2016-2020,2016-2020,Nevada,34.8%,24.5%,21.2%,19.3%,13.1%,33.4%,24.0%,21.1%,19.6%,13.2%,42.0%,27.9%,21.8%,17.5%,11.6%
2016-2020,2016-2020,2016-2020,New Hampshire,42.4%,27.7%,17.8%,12.6%,6.7%,41.9%,26.9%,16.7%,11.8%,6.4%,43.2%,29.0%,19.7%,13.8%,7.3%
2016-2020,2016-2020,2016-2020,New Jersey,47.5%,32.6%,23.3%,17.9%,9.7%,47.5%,32.6%,23.3%,17.9%,9.7%,,,,,
2016-2020,2016-2020,2016-2020,New Mexico,44.8%,31.1%,24.9%,21.1%,13.5%,39.7%,27.4%,21.3%,18.7%,11.9%,50.7%,36.7%,30.8%,25.4%,16.8%
2016-2020,2016-2020,2016-2020,New York,47.3%,33.7%,25.2%,20.9%,12.8%,47.3%,33.6%,25.1%,21.0%,12.9%,48.3%,35.7%,26.1%,20.2%,10.6%
2016-2020,2016-2020,2016-2020,North Carolina,61.5%,45.2%,30.0%,21.9%,11.5%,58.7%,41.9%,27.1%,19.7%,10.4%,68.4%,53.1%,38.2%,28.2%,15.2%
2016-2020,2016-2020,2016-2020,North Dakota,49.7%,33.6%,23.3%,16.1%,6.9%,40.2%,25.1%,16.2%,11.5%,5.4%,53.9%,38.2%,27.9%,19.7%,8.4%
2016-2020,2016-2020,2016-2020,Ohio,46.8%,33.0%,24.3%,17.0%,9.2%,46.2%,32.2%,23.5%,16.4%,8.7%,48.9%,36.2%,27.6%,19.5%,11.3%
2016-2020,2016-2020,2016-2020,Oklahoma,48.4%,34.0%,25.4%,19.4%,11.4%,43.5%,29.2%,21.8%,17.1%,10.5%,54.6%,40.6%,30.9%,23.2%,13.3%
2016-2020,2016-2020,2016-2020,Oregon,40.0%,24.4%,18.5%,14.9%,8.9%,38.4%,23.0%,17.2%,13.9%,8.4%,45.5%,29.3%,23.9%,19.0%,11.2%
2016-2020,2016-2020,2016-2020,Pennsylvania,49.8%,35.3%,25.3%,18.1%,9.0%,49.5%,34.8%,24.9%,17.7%,8.8%,51.6%,38.6%,28.5%,20.7%,10.5%
2016-2020,2016-2020,2016-2020,Rhode Island,53.6%,38.9%,28.0%,22.0%,10.8%,53.6%,38.9%,28.0%,22.0%,10.8%,,,,,
2016-2020,2016-2020,2016-2020,South Carolina,62.2%,46.3%,31.7%,23.7%,11.7%,59.7%,44.0%,29.5%,21.9%,10.8%,71.1%,55.2%,41.0%,31.3%,16.6%
2016-2020,2016-2020,2016-2020,South Dakota,46.7%,32.1%,22.9%,15.4%,7.8%,39.6%,25.7%,17.7%,12.0%,6.4%,49.9%,35.6%,26.3%,18.0%,9.2%
2016-2020,2016-2020,2016-2020,Tennessee,58.2%,43.8%,32.9%,24.1%,11.8%,54.4%,39.9%,29.4%,21.4%,10.6%,69.3%,55.2%,43.8%,32.0%,15.8%
2016-2020,2016-2020,2016-2020,Texas,52.6%,37.4%,27.9%,24.3%,15.6%,50.0%,34.5%,26.0%,23.3%,15.2%,62.8%,50.1%,37.7%,30.6%,18.9%
2016-2020,2016-2020,2016-2020,Utah,32.7%,20.0%,14.9%,12.3%,7.0%,31.6%,19.1%,14.2%,11.9%,7.0%,41.0%,26.0%,20.2%,15.1%,7.8%
2016-2020,2016-2020,2016-2020,Vermont,42.9%,29.0%,19.2%,13.6%,6.5%,40.6%,26.6%,16.3%,11.5%,6.1%,43.8%,29.9%,20.5%,14.5%,6.7%
2016-2020,2016-2020,2016-2020,Virginia,52.2%,37.6%,24.8%,18.5%,9.7%,47.5%,32.7%,21.2%,15.9%,8.7%,70.3%,57.9%,43.3%,32.9%,16.1%
2016-2020,2016-2020,2016-2020,Washington,36.5%,22.4%,16.2%,12.9%,8.3%,35.8%,21.7%,15.5%,12.4%,8.1%,41.8%,27.6%,21.7%,16.8%,10.4%
2016-2020,2016-2020,2016-2020,West Virginia,58.4%,44.0%,34.0%,24.8%,12.4%,55.2%,40.6%,30.9%,22.2%,10.9%,62.8%,48.7%,38.5%,28.7%,14.8%
2016-2020,2016-2020,2016-2020,Wisconsin,45.5%,30.4%,21.4%,14.9%,7.4%,43.2%,28.3%,19.8%,14.1%,7.1%,51.7%,35.8%,25.6%,17.1%,8.3%
2016-2020,2016-2020,2016-2020,Wyoming,37.1%,22.1%,17.0%,12.1%,6.4%,32.7%,18.7%,15.3%,11.3%,6.1%,39.2%,23.6%,17.7%,12.5%,6.6%
2016-2020,2016-2020,2016-2020,Puerto Rico,,,,40.0%,22.5%,,,,39.8%,22.3%,,,,46.8%,25.7%

